City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
119,Khachrod,IN,2022-02-04 01:59:57,23.4167,75.2833,51.89,48,0,3.33,clear sky
120,Roebourne,AU,2022-02-04 01:59:57,-20.7833,117.1333,91.63,43,92,12.28,overcast clouds
121,Turbat,PK,2022-02-04 01:59:57,26.0023,63.044,58.78,16,0,5.66,clear sky
122,Camocim,BR,2022-02-04 01:59:58,-2.9022,-40.8411,77.32,88,100,10.58,overcast clouds
123,Katsuura,JP,2022-02-04 01:52:30,35.1333,140.3,42.82,66,100,10.22,overcast clouds
124,Hasaki,JP,2022-02-04 01:53:39,35.7333,140.8333,43.29,55,100,9.55,overcast clouds
125,Iracoubo,GF,2022-02-04 01:59:59,5.4802,-53.2011,76.3,89,100,9.62,overcast clouds
126,Muros,ES,2022-02-04 01:59:59,42.7762,-9.0603,54.23,94,100,4.0,overcast clouds
127,Adana,TR,2022-02-04 01:59:59,36.985,35.2881,48.22,87,75,9.22,broken clouds
128,Ostrovnoy,RU,2022-02-04 01:52:42,68.0531,39.5131,14.11,94,100,3.91,overcast clouds
129,Alekseyevka,RU,2022-02-04 02:00:00,50.6309,38.6903,25.84,97,100,6.24,overcast clouds
130,Salalah,OM,2022-02-04 02:00:01,17.0151,54.0924,71.29,35,5,8.03,clear sky
131,New Norfolk,AU,2022-02-04 01:59:57,-42.7826,147.0587,69.91,34,1,3.0,clear sky
132,Sao Joao Da Barra,BR,2022-02-04 01:47:52,-21.6403,-41.0511,73.78,96,97,5.79,overcast clouds
133,Rapar,IN,2022-02-04 02:00:03,23.5667,70.6333,60.4,47,0,7.85,clear sky
134,Erzin,TR,2022-02-04 02:00:05,36.9559,36.2,45.12,82,100,7.85,overcast clouds
135,Palmer,US,2022-02-04 01:53:02,42.1584,-72.3287,44.15,88,100,3.44,moderate rain
136,Coihaique,CL,2022-02-04 02:00:09,-45.5752,-72.0662,51.51,98,15,4.97,few clouds
137,Great Bend,US,2022-02-04 02:00:10,38.3645,-98.7648,16.41,54,100,3.29,overcast clouds
138,Esperance,AU,2022-02-04 01:52:01,-33.8667,121.9,76.84,48,2,9.08,clear sky
139,Tiksi,RU,2022-02-04 02:00:12,71.6872,128.8694,-11.63,100,100,6.64,overcast clouds
140,Buraydah,SA,2022-02-04 01:53:30,26.326,43.975,64.85,59,3,10.67,clear sky
141,Karlstad,SE,2022-02-04 02:00:13,59.3793,13.5036,32.56,100,100,5.75,fog
142,Hithadhoo,MV,2022-02-04 01:52:43,-0.6,73.0833,81.61,73,100,10.25,overcast clouds
143,Severo-Kurilsk,RU,2022-02-04 01:52:35,50.6789,156.125,31.33,88,100,10.8,light snow
144,Khatanga,RU,2022-02-04 01:52:42,71.9667,102.5,-32.51,100,90,4.41,overcast clouds
145,Aripuana,BR,2022-02-04 02:00:15,-9.1667,-60.6333,72.61,99,96,0.76,overcast clouds
146,Qeshm,IR,2022-02-04 02:00:16,26.9581,56.2719,68.32,55,0,4.79,clear sky
147,Pevek,RU,2022-02-04 01:52:31,69.7008,170.3133,-18.22,99,24,3.27,few clouds
148,Luderitz,NA,2022-02-04 02:00:16,-26.6481,15.1594,68.23,70,1,15.12,clear sky
149,Letlhakane,BW,2022-02-04 02:00:17,-21.4167,25.5833,69.93,77,83,6.06,broken clouds
150,Touros,BR,2022-02-04 01:51:46,-5.1989,-35.4608,81.5,75,61,13.33,broken clouds
151,Cherskiy,RU,2022-02-04 01:52:21,68.75,161.3,-28.08,98,21,3.65,few clouds
152,Boa Viagem,BR,2022-02-04 02:00:20,-5.1275,-39.7322,74.91,73,59,2.95,broken clouds
153,Sibolga,ID,2022-02-04 02:00:21,1.7427,98.7792,79.65,77,49,1.14,scattered clouds
154,Blagoyevo,RU,2022-02-04 02:00:22,63.3667,47.9167,1.15,100,88,2.66,overcast clouds
155,Narwar,IN,2022-02-04 02:00:23,25.65,77.9,51.19,65,0,5.91,clear sky
156,Carnarvon,AU,2022-02-04 01:52:16,-24.8667,113.6333,96.87,23,13,12.66,few clouds
157,Kieta,PG,2022-02-04 02:00:24,-6.2167,155.6333,77.86,89,100,6.53,light rain
158,Georgetown,MY,2022-02-04 01:57:37,5.4112,100.3354,84.13,86,20,5.99,few clouds
159,Medicine Hat,CA,2022-02-04 02:00:18,50.0501,-110.6683,5.72,72,100,6.76,overcast clouds
160,Eenhana,NA,2022-02-04 02:00:25,-17.4667,16.3333,71.29,62,100,8.28,overcast clouds
161,Mayumba,GA,2022-02-04 02:00:25,-3.432,10.6554,75.22,89,100,2.82,overcast clouds
162,Geraldton,AU,2022-02-04 01:53:14,-28.7667,114.6,100.81,11,0,16.11,clear sky
163,Ambon,ID,2022-02-04 02:00:26,-3.6954,128.1814,86.14,70,40,6.91,scattered clouds
164,Qaanaaq,GL,2022-02-04 02:00:26,77.484,-69.3632,-14.31,56,98,8.25,overcast clouds
165,Lompoc,US,2022-02-04 02:00:27,34.6391,-120.4579,58.14,75,99,1.99,overcast clouds
166,Nagaoka,JP,2022-02-04 02:00:27,37.45,138.85,33.62,96,100,4.27,snow
167,Mahebourg,MU,2022-02-04 02:00:28,-20.4081,57.7,80.26,88,100,22.5,light rain
168,Auce,LV,2022-02-04 02:00:28,56.4598,22.9017,23.45,94,100,5.86,overcast clouds
169,Avarua,CK,2022-02-04 01:52:38,-21.2078,-159.775,84.25,74,40,18.41,scattered clouds
170,Jiujiang,CN,2022-02-04 02:00:21,29.7333,115.9833,41.85,76,100,5.7,overcast clouds
171,Bathsheba,BB,2022-02-04 01:49:06,13.2167,-59.5167,77.61,65,20,12.66,few clouds
172,Padang,ID,2022-02-04 02:00:30,-0.9492,100.3543,77.05,73,92,1.66,overcast clouds
173,Maceio,BR,2022-02-04 02:00:17,-9.6658,-35.7353,78.24,83,20,3.44,few clouds
174,Suoyarvi,RU,2022-02-04 02:00:30,62.0833,32.35,-2.24,100,97,0.09,overcast clouds
175,Eyl,SO,2022-02-04 02:00:31,7.9803,49.8164,68.9,74,1,10.49,clear sky
176,Longhua,CN,2022-02-04 02:00:31,23.6137,114.1919,51.37,70,55,5.88,broken clouds
177,Msanga,TZ,2022-02-04 02:00:31,-6.05,36.0333,64.92,93,100,0.78,overcast clouds
178,Ponta Do Sol,PT,2022-02-04 01:52:19,32.6667,-17.1,66.0,73,37,4.36,scattered clouds
179,Thompson,CA,2022-02-04 02:00:32,55.7435,-97.8558,-19.86,97,22,5.7,few clouds
180,Portland,US,2022-02-04 01:52:44,45.5234,-122.6762,48.52,88,20,3.0,few clouds
181,Weligama,LK,2022-02-04 02:00:32,5.9667,80.4167,74.1,82,4,3.76,clear sky
182,Tulum,MX,2022-02-04 02:00:33,20.2167,-87.4667,75.97,88,0,6.82,clear sky
183,Rawson,AR,2022-02-04 02:00:34,-43.3002,-65.1023,67.84,61,100,5.88,light rain
184,Belyy Yar,RU,2022-02-04 02:00:34,53.6039,91.3903,-19.14,75,40,2.24,mist
185,Chuy,UY,2022-02-04 02:00:35,-33.6971,-53.4616,73.02,95,100,5.79,moderate rain
186,San Patricio,US,2022-02-04 02:00:35,28.017,-97.5169,35.83,75,100,18.37,overcast clouds
187,Kiunga,PG,2022-02-04 02:00:36,-6.1219,141.2906,91.99,49,20,3.15,few clouds
188,Upernavik,GL,2022-02-04 01:49:06,72.7868,-56.1549,3.79,66,100,6.04,overcast clouds
189,Champerico,GT,2022-02-04 02:00:36,14.3,-91.9167,81.36,67,22,6.51,few clouds
190,Vila Franca Do Campo,PT,2022-02-04 01:53:21,37.7167,-25.4333,60.19,82,100,11.41,overcast clouds
191,Klaksvik,FO,2022-02-04 01:52:59,62.2266,-6.589,36.52,83,98,48.9,overcast clouds
192,Kovdor,RU,2022-02-04 02:00:37,67.5662,30.4758,2.61,100,97,2.48,overcast clouds
193,Yakeshi,CN,2022-02-04 02:00:38,49.2833,120.7333,-17.68,95,85,5.06,overcast clouds
194,Mishan,CN,2022-02-04 02:00:38,45.55,131.8833,4.42,80,43,13.53,scattered clouds
195,Santa Marta,CO,2022-02-04 01:56:50,11.2408,-74.199,82.89,70,20,15.99,few clouds
196,Burriana,ES,2022-02-04 02:00:39,39.889,-0.085,55.71,55,48,2.68,scattered clouds
197,Leoben,AT,2022-02-04 02:00:39,47.3461,15.1257,28.96,83,37,4.52,scattered clouds
198,Darhan,MN,2022-02-04 01:53:32,49.4867,105.9228,-6.84,93,22,4.27,few clouds
199,Danielskuil,ZA,2022-02-04 02:00:40,-28.1887,23.5395,61.21,70,0,4.34,clear sky
200,Xuddur,SO,2022-02-04 02:00:40,4.1213,43.8894,68.59,67,100,15.95,overcast clouds
201,San Quintin,MX,2022-02-04 02:00:41,30.4833,-115.95,57.42,62,0,4.14,clear sky
202,Gombe,NG,2022-02-04 02:00:41,10.2897,11.1673,64.51,21,31,9.82,scattered clouds
203,Matay,EG,2022-02-04 02:00:42,28.419,30.7792,49.73,53,4,10.94,clear sky
204,Arauco,CL,2022-02-04 02:00:42,-37.2463,-73.3175,60.1,85,48,9.91,scattered clouds
205,Marawi,PH,2022-02-04 01:50:36,7.9986,124.2928,71.65,84,100,2.75,overcast clouds
206,Tilichiki,RU,2022-02-04 02:00:43,60.4667,166.1,3.99,76,100,10.49,overcast clouds
207,Ugoofaaru,MV,2022-02-04 02:00:43,5.6667,73.0,80.65,74,74,8.7,broken clouds
208,Nang Rong,TH,2022-02-04 02:00:44,14.6377,102.7914,80.33,56,55,10.38,light rain
