City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
323,Marang,MY,78.57,overcast clouds,5.2056,103.2059,DBarakah Homestay
324,Kikwit,CD,66.87,overcast clouds,-5.041,18.8162,HOTEL PLACE YALABA
334,Machilipatnam,IN,71.8,few clouds,16.1667,81.1333,R&B Bungalow
336,Ouahigouya,BF,66.79,clear sky,13.5828,-2.4216,Hotel Liberte
339,Wonthaggi,AU,76.05,clear sky,-38.6044,145.5913,Wonthaggi Caravans & Trailers
342,Vanimo,PG,83.44,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
343,Samarai,PG,84.7,overcast clouds,-10.6167,150.6667,Nuli Sapi
346,Syriam,MM,69.91,clear sky,16.7722,96.2378,Excel River View Hotel
347,Alofi,NU,80.49,overcast clouds,-19.0595,-169.9187,Taloa Heights
353,Sorong,ID,84.27,broken clouds,-0.8833,131.25,Waigo Splash Hotel
363,Zabid,YE,74.35,clear sky,14.1951,43.3152,مغرب التريبه
364,Chicama,PE,72.32,broken clouds,-7.8447,-79.1469,Balihai Bungalows
367,Anloga,GH,80.2,clear sky,5.7947,0.8973,Pin Drop Hotel
369,Nabire,ID,78.37,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
370,Bosaso,SO,70.32,clear sky,11.2842,49.1816,Red Sea Hotel
371,Mackay,AU,81.68,overcast clouds,-21.15,149.2,International Lodge Motel
375,Russell,US,69.4,moderate rain,32.3502,-85.1999,Macs
377,Gondanglegi,ID,81.05,overcast clouds,-7.7479,112.0132,Rumah Mujiatin
379,Rio Viejo,CO,81.86,few clouds,8.5874,-73.839,Hotel 5 Estrellas
380,Ngunguru,NZ,78.17,scattered clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
381,Fare,PF,81.23,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
382,Ahuimanu,US,78.46,clear sky,21.4447,-157.8378,Paradise Bay Resort
385,Apitong,PH,82.87,broken clouds,13.2391,121.2075,Fort rm panganiban resort
392,Richards Bay,ZA,76.14,moderate rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
396,Harper,LR,77.81,light rain,4.375,-7.7169,Screensaver
398,Chokwe,MZ,76.03,clear sky,-24.5333,32.9833,Complexo Sonho Real
